id,villeLowerCase,zipCode,long,lat
660,mezy moulins,2650,3.5,49.0667
661,gernicourt,2160,3.86667,49.4
662,quincy basse,2380,3.38333,49.5167
663,sergy,2130,3.56667,49.1833
664,toulis et attencourt,2250,3.73333,49.6833
665,puiseux en retz,2600,3.13333,49.3
666,leuze,2500,4.15,49.85
667,crezancy,2650,3.5,49.05
668,noyales,2120,3.55,49.9
669,marigny en orxois,2810,3.21667,49.0667
670,foreste,2590,3.1,49.8167
671,wissignicourt,2320,3.43333,49.5333
672,tavaux et pontsericourt,2250,3.91667,49.7333
673,saponay,2130,3.48333,49.2167
674,ebouleau,2350,3.86667,49.6667
675,orainville,2190,4.01667,49.3833
676,missy les pierrepont,2350,3.8,49.6333
677,neuilly saint front,2470,3.26667,49.1667
678,tergnier,2700,3.3,49.65
679,la ferte milon,2460,3.11667,49.1667
680,bassoles aulers,2380,3.38333,49.5333
681,le verguier,2490,3.16667,49.9333
682,ostel,2370,3.56667,49.4333
